window,nominalFElo,nominalFEhi,source,nEvaluated,nUniqueObjectives,nTuplesExclusive,nexclND,exclusiveNDSharePct,WHVG,WHVGSharePct,hvAll,nndAll,emptyWindow,life_GENERATED,life_DESCENDANT,life_IMPROVING_DESCENDANT,life_MERGE_POOL,life_PDDR_SELECTED,life_WORKING_POPULATION,life_PERSONAL_ARCHIVE,life_QG_TEACHER,life_QP_TEACHER,life_QP_ACTION
1,0,25000,GLOBAL_CFVF,19894,19795,19772,75,92.5925925925926,0.364135499329964,42.69934682927269,0.8527893899312051,81,False,19894,14894,7524,394,171,171,0,750,0,0
1,0,25000,CATA,526,526,503,0,0.0,0.0,0.0,0.8527893899312051,81,False,526,350,221,195,85,85,0,0,0,0
1,0,25000,INHERITED_LS,4480,2752,2752,6,7.407407407407407,0.0040929187594710426,0.47994485013482874,0.8527893899312051,81,False,4480,2989,1621,72,44,44,0,41,0,0
1,0,25000,PARENT_CARRYOVER,100,100,100,0,0.0,0.0,0.0,0.8527893899312051,81,False,100,0,0,100,0,0,0,5,0,0
2,25000,50000,GLOBAL_CFVF,18262,17364,17359,213,91.8103448275862,0.12502805822621876,13.485228743077952,0.9271482197912023,232,False,18262,18262,10827,674,295,295,0,715,0,0
2,25000,50000,CATA,732,728,724,2,0.8620689655172413,0.0003741602316921222,0.040356031938063225,0.9271482197912023,232,False,732,732,321,178,54,54,0,0,0,0
2,25000,50000,INHERITED_LS,6006,3800,3799,17,7.327586206896552,0.005254149388989826,0.5667000461019148,0.9271482197912023,232,False,6006,6006,2031,96,51,51,0,17,0,0
2,25000,50000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.9271482197912023,232,False,0,0,0,0,0,0,0,0,0,0
3,50000,75000,GLOBAL_CFVF,18112,16621,16615,286,97.61092150170649,0.1312244640215191,15.843211343005352,0.8282693525984782,293,False,18112,18112,6672,707,306,306,0,721,0,0
3,50000,75000,CATA,722,713,707,3,1.023890784982935,9.239804931449047e-05,0.011155555740969502,0.8282693525984782,293,False,722,722,232,191,62,62,0,3,0,0
3,50000,75000,INHERITED_LS,6166,3376,3376,4,1.3651877133105803,0.0017456303368197368,0.2107563597932579,0.8282693525984782,293,False,6166,6166,1781,57,27,27,0,0,0,0
3,50000,75000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8282693525984782,293,False,0,0,0,0,0,0,0,0,0,0
4,75000,100000,GLOBAL_CFVF,18732,17645,17637,288,90.85173501577287,0.10261304683179429,11.759640252603422,0.8725866151311659,317,False,18732,18732,7170,537,241,241,0,736,0,0
4,75000,100000,CATA,729,727,719,5,1.5772870662460567,0.004448629920027369,0.5098210129384873,0.8725866151311659,317,False,729,729,223,170,47,47,0,0,0,0
4,75000,100000,INHERITED_LS,5539,3284,3284,24,7.570977917981073,0.007647442285997008,0.876410679855255,0.8725866151311659,317,False,5539,5539,1065,26,6,6,0,12,0,0
4,75000,100000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8725866151311659,317,False,0,0,0,0,0,0,0,0,0,0
5,100000,125000,GLOBAL_CFVF,18585,17852,17847,262,94.24460431654676,0.14023412756593012,15.90415798343144,0.8817450613356744,278,False,18585,18585,4677,717,323,323,0,639,0,0
5,100000,125000,CATA,535,534,531,2,0.7194244604316546,0.001039696619381747,0.11791351774704655,0.8817450613356744,278,False,535,535,72,194,47,47,0,1,0,0
5,100000,125000,INHERITED_LS,5880,3182,3180,14,5.0359712230215825,0.0039608343626810205,0.44920403145565874,0.8817450613356744,278,False,5880,5880,547,54,30,30,0,104,0,0
5,100000,125000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8817450613356744,278,False,0,0,0,0,0,0,0,0,0,0
6,125000,150000,GLOBAL_CFVF,17223,16998,16986,251,86.25429553264605,0.1065896122097143,14.010116351162445,0.7608046181634343,291,False,17223,17223,2936,717,324,324,0,641,0,0
6,125000,150000,CATA,724,723,712,5,1.7182130584192439,0.0039633495822504194,0.5209418407340717,0.7608046181634343,291,False,724,724,92,201,46,46,0,0,0,0
6,125000,150000,INHERITED_LS,7053,3939,3938,35,12.027491408934708,0.008654721838391888,1.1375748295645467,0.7608046181634343,291,False,7053,7053,238,64,30,30,0,51,0,0
6,125000,150000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7608046181634343,291,False,0,0,0,0,0,0,0,0,0,0
7,150000,175000,GLOBAL_CFVF,18826,18349,18343,324,95.29411764705883,0.16175036307308244,18.928830009564116,0.8545185465311659,340,False,18826,18826,6146,554,252,252,0,718,0,0
7,150000,175000,CATA,560,558,553,1,0.29411764705882354,9.11389369351312e-06,0.0010665530585041222,0.8545185465311659,340,False,560,560,86,129,34,34,0,4,0,0
7,150000,175000,INHERITED_LS,5614,3086,3085,15,4.411764705882353,0.004666625660380119,0.5461116881925885,0.8545185465311659,340,False,5614,5614,1155,36,14,14,0,30,0,0
7,150000,175000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8545185465311659,340,False,0,0,0,0,0,0,0,0,0,0
8,175000,200000,GLOBAL_CFVF,16203,15183,15170,195,87.4439461883408,0.15052514102144376,21.454771407613123,0.7015928446016005,223,False,16203,16203,7919,728,343,343,0,519,0,0
8,175000,200000,CATA,704,702,693,1,0.4484304932735426,1.341851827385554e-05,0.001912579122934933,0.7015928446016005,223,False,704,704,303,153,19,19,0,0,0,0
8,175000,200000,INHERITED_LS,8093,4364,4360,27,12.10762331838565,0.006654448574172522,0.9484772579103555,0.7015928446016005,223,False,8093,8093,2382,70,33,33,0,21,0,0
8,175000,200000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7015928446016005,223,False,0,0,0,0,0,0,0,0,0,0
9,200000,225000,GLOBAL_CFVF,17889,16627,16627,259,91.19718309859155,0.12376561660759444,14.809050200839431,0.8357431093087857,284,False,17889,17889,5635,564,256,256,0,445,0,0
9,200000,225000,CATA,543,542,542,2,0.704225352112676,2.461129104958104e-07,2.9448392425198924e-05,0.8357431093087857,284,False,543,543,92,118,10,10,0,19,0,0
9,200000,225000,INHERITED_LS,6568,3281,3281,23,8.098591549295774,0.010486355041702478,1.2547342508603367,0.8357431093087857,284,False,6568,6568,895,48,22,22,0,80,0,0
9,200000,225000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8357431093087857,284,False,0,0,0,0,0,0,0,0,0,0
10,225000,250000,GLOBAL_CFVF,16274,14564,14558,214,76.15658362989323,0.11281593893602015,14.95618844087489,0.7543094243697612,281,False,16274,16274,4129,546,249,249,0,603,0,0
10,225000,250000,CATA,742,729,726,2,0.7117437722419929,0.0013893912282555432,0.1841938047395343,0.7543094243697612,281,False,742,742,187,108,11,11,0,23,0,0
10,225000,250000,INHERITED_LS,7984,3901,3898,64,22.775800711743774,0.004457142698145122,0.5908904958822625,0.7543094243697612,281,False,7984,7984,1976,58,28,28,0,15,0,0
10,225000,250000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7543094243697612,281,False,0,0,0,0,0,0,0,0,0,0
